Feature,Variance
is_max_dilatation_in_last_instance_area,0.1679208915087843
last_is_most_fixations,0.13955176108320366
last_is_longest_duration,0.1366686389498007
first_is_most_fixations,0.13133151196206588
first_is_longest_duration,0.10846146272246847
is_max_dilatation_in_first_instance_area,0.08485495130485085
total_duration_fixations,0.0544201588747751
area_duration_mean,0.05182008672518351
areas_of_interest,0.040318449940185665
min_dilatation,0.03619899065031067
last_series_duration,0.033582987061832555
area_duration_max,0.031008777401140077
area_duration_min,0.030927900789849916
instance_area_mean_dilatation_max,0.03089624487554867
max_dilatation,0.028805363041516627
initial_instance_area_duration_ms,0.028691128200377593
mean_dilatation,0.02831961977310755
instance_area_mean_dilatation_mean,0.028157498441912385
min_fixations_per_area,0.028043584634390564
times_returns_to_initial_area,0.025633933957790823
dilatation_range_max,0.0252982366736951
instance_area_mean_dilatation_min,0.024548358560021428
initial_instance_area_n_fixations,0.023273327452927504
last_series_num_fixations,0.02306593125549308
area_duration_std,0.022759759899071006
max_fixations_per_area,0.02245663346246482
total_fixations,0.021683773731193484
mean_fixations_per_area,0.021469683743317463
std_dilatation,0.021257280125887762
visits_to_final_area,0.020065495992071407
std_fixations_per_area,0.017929600393696118
dilatation_range_std,0.016662233480144152
isolated_fixations,0.01639487331826148
fixation_duration_max,0.009741565505174752
n_area_changes_before_first_long_area,0.009686724928002464
dilatation_range_mean,0.008314078009322783
returns_to_initial_area,0.008157982639614182
fixation_duration_mean,0.006963559996965212
fixation_duration_std,0.00616240562187428
instance_area_mean_dilatation_std,0.004900786447102827
dilatation_range_min,0.003901614315384595
fixation_duration_min,0.000540604051557628
